, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
 ,0,0.002324870769779226,0.0071783249726261105,0.014853199562017774,0.004629006500616595,0.0075046290065006165,0.004192115592385512,0.001974557743445727,0.0038807262356446233,0.011239118651713188,1.2368268842511923e-05,0.009835320138088084,0.002642080488328356,0.005542075759284387,0.015595659465181504,0.012077978297325908,0.01550326122147568,0.004126272749429787,0.015809193989021343,0.007828022859471002,0.0036777411175822217,0.0007806560275303114,0.0010975019734664256,0.00034267380146018326,0.005526433536924739,0.0007715617122049349,5.820361808240905e-05,4.365271356180678e-06,3.6377261301505657e-06,0.0025256732521635374,3.7832351753565884e-05,0.001376515567648974
а,0.016650963815538183,5.456589195225848e-06,0.0005900391783104218,0.0031950148601112417,0.0008093940639585008,0.001852693918085683,0.0009352593880617104,0.0011469750488364732,0.0038869103700658793,0.00011349705526069764,0.0006256888943858973,0.004044787684114414,0.008687253771412565,0.0027115610574142317,0.004470765413955045,5.456589195225848e-06,0.0008792384056573916,0.0028399727898085463,0.003468935637711579,0.004671204123726341,0.00011968118968195361,0.0005194672913855007,0.0009410797498699513,6.547907034271017e-05,0.000727545226030113,0.0012571981505800354,0.00023135938187757597,0,0,3.637726130150565e-07,0.0007460976292938809,0.002335420175556663
б,0.00023936237936390722,0.0009490827473562825,8.730542712361357e-06,7.821111179823716e-05,9.458087938391471e-06,2.1462584167888337e-05,0.002064773351473461,6.547907034271018e-06,7.27545226030113e-07,0.0007097203679923753,0,0.00020225757283637145,0.0007686515313008145,3.8196124366580936e-05,0.00027901359418254837,0.002142984463271698,0,0.001099684609144516,7.057188692492097e-05,6.547907034271018e-06,0.0010054675023736164,0,9.603596983597493e-05,2.910180904120452e-06,2.000749371582811e-05,4.365271356180678e-06,0.00019570966580210043,0.003964030164025072,0.000134959639428586,0,4.001498743165622e-06,0.0004259777298406312
в,0.006384936903640273,0.005378378083427611,1.3095814068542036e-05,3.2375762558340035e-05,3.4194625623415315e-05,0.0002979297700593313,0.0043212548700058565,7.27545226030113e-07,0.00048490889314907037,0.0030578725850045653,0,0.0001305943680724053,0.0010211097247332637,0.00012950305023336014,0.00109350047472326,0.007353299599486353,0.0002386348341378771,0.0006202323051906714,0.0030375013186757223,0.00019098062183290468,0.0007962982498899587,0,4.1833850496731504e-05,1.2004496229496866e-05,3.6377261301505655e-05,0.0011622534985831056,4.001498743165622e-06,0.0024689247245331886,0.00017315576379516693,3.637726130150565e-07,3.637726130150565e-07,0.0002008024823843112
г,0.0008486815061641269,0.0009083402146985962,0,3.6013488688490596e-05,1.0913178390451696e-06,0.0010265663139284896,0.0005009148881217328,3.637726130150565e-07,3.637726130150565e-07,0.0007046275514101646,0,7.602847612014682e-05,0.0014361742761834432,3.6377261301505657e-06,0.0002466378316242083,0.008800023281447232,0,0.0011527954106447143,6.802547863381558e-05,2.182635678090339e-06,0.0006326005740331834,0,0,1.0913178390451696e-06,2.4736537685023846e-05,6.1841344212559615e-06,0,3.637726130150565e-07,0,0,0,0
д,0.0010964106556273804,0.004235768305947319,3.164821733230992e-05,0.0009498102925823127,6.547907034271018e-06,2.6555400750099127e-05,0.004383459986831432,1.3823359294572148e-05,2.546408291105396e-06,0.0024540100473995716,3.637726130150565e-07,0.00017970367082943795,0.0007875677071775974,0.00011204196480863742,0.0016682612032870494,0.003627176724373129,9.821860551406527e-05,0.0018104962949759365,0.0003717756105013878,0.0002233563843912447,0.0016038734507833844,6.1841344212559615e-06,4.2561395722761615e-05,0.00014587281781903769,3.1284444719294865e-05,0.00012040873490798371,3.637726130150565e-07,0.0006002248114748433,0.000559482278817157,3.637726130150565e-07,4.219762310974656e-05,0.0004143370062241494
е,0.017212264957420415,2.837426381517441e-05,0.0010982295186924558,0.001455090452060226,0.0033732634404886196,0.002555502606430772,0.0015962342259100682,0.001029840267445625,0.001184079855364009,0.00017897612560340782,0.002423453147906307,0.0009829136003666828,0.0059680534891250175,0.003878543599966533,0.0072725420793970106,0.00048672775621414567,0.0009017923076643252,0.0064289533898150945,0.0036715569831609657,0.003550420703026952,7.020811431190592e-05,9.821860551406526e-06,0.0009272563905753791,0.00021498961429189842,0.0009167069847979425,0.000662066155687403,0.0005954957675056476,0,0,0,0.000263735144435916,0.0003484941632684242
ж,0.00019789230148019077,0.0013303164457960617,5.27470288871832e-05,0,1.3095814068542036e-05,0.0007257263629650378,0.003660280032157499,1.8552403263767883e-05,0,0.0013470499859947545,0,7.748356657220704e-05,3.273953517135509e-06,6.911679647286074e-06,0.0011618897259700906,3.6377261301505655e-05,0,2.546408291105396e-06,2.2553902006933507e-05,0,0.00015205695224029364,0,0,0,3.9651214818641164e-05,0,0,0,4.001498743165622e-05,0,2.8010491202159355e-05,0
з,0.001325223629213851,0.0051241010269300865,0.00016806294721295612,0.0007708341669789049,0.0003834163341178696,0.0006547907034271018,0.0002302680640385308,0.00015642222359647432,2.4736537685023846e-05,0.0003383085301040026,0,0.0001240464610381343,0.00021244320600079301,0.0002684641884051117,0.0016176968100779564,0.0006198685325776563,0,0.00019971116454526604,0.0001524207248533087,1.5278449746632374e-05,0.0002604611909187805,0,0,4.001498743165622e-06,1.5278449746632374e-05,9.821860551406526e-06,0,0.0005452951469095698,0.000598405948409768,0,6.584284295572524e-05,0.0004554433114948508
и,0.019059502286310873,7.78473391852221e-05,0.0004077890991898784,0.002424544465745352,0.0004798160765668596,0.0015089287987864546,0.0026537212119448375,0.0003834163341178696,0.0019148990349112578,0.0008064838830543804,0.0012211846618915448,0.001851602600246638,0.004541701073492981,0.002870165916688796,0.0030145836440557735,0.00018152253389451322,0.0001757021720862723,0.0005027337511868082,0.00282942338403111,0.0031466331025802393,4.365271356180678e-06,2.6555400750099127e-05,0.0017253735035304132,0.0011433373227063227,0.0012179107083744093,0.000340854938395108,0.0001389611381717516,0,0,0,0.0003423100288471682,0.0018083136592978461
й,0.007602847612014682,0,1.8188630650752828e-06,3.637726130150565e-07,0,0.00015205695224029364,3.6377261301505657e-06,0,0,0,0,5.0928165822107914e-05,6.875302385984568e-05,3.6377261301505655e-05,0.0003648639308541017,1.054940577743664e-05,0,1.6005994972662488e-05,0.0006737068793038847,0.0002077141620315973,0,0,7.27545226030113e-07,2.6919173363114186e-05,5.674852763034882e-05,0.00010367519470929112,3.637726130150565e-07,0,0,0,0,0
к,0.004559162158917704,0.007044092878423555,0,0.00033976362055606284,1.0913178390451696e-06,6.547907034271018e-06,0.0004074253265768633,1.6369767585677543e-05,4.365271356180678e-06,0.0024023543363514335,0,1.2004496229496866e-05,0.00036704656653219203,4.365271356180678e-06,0.0014358105035704282,0.008062292422252699,0,0.0014958329847179126,0.00010403896732230617,0.00042415886677555595,0.001408527557594299,0,7.27545226030113e-07,9.458087938391471e-06,1.7097312811707658e-05,7.639224873316187e-06,0,0,7.27545226030113e-07,0,5.820361808240904e-06,0
л,0.007265994172362739,0.006623207965165134,2.219012939391845e-05,5.456589195225848e-06,0.00012186382536004395,0.000244455195946118,0.004035693368789037,0.0003546782976896801,4.001498743165622e-06,0.006209598504167016,0,0.0005271065162588169,9.312578893185447e-05,4.365271356180678e-06,0.00027901359418254837,0.005982968166258635,0.00017279199118215186,0,0.0011746217674256177,3.9651214818641164e-05,0.001151340320192654,5.092816582210792e-06,4.7290439691957354e-06,3.637726130150565e-07,0.00019461834796305526,7.639224873316187e-06,2.546408291105396e-06,0.0009978282775003002,0.0035820689203592618,0,0.0010603971669388898,0.0017959453904553343
